MSOA21CD,MSOA21NM,retail_units_2019,total_rateable_value_2019,median_rateable_value_2019,total_floor_area_2019,median_floor_area_2019,vacancy_proxy_2019,retail_units,total_rateable_value,median_rateable_value,total_floor_area,median_floor_area,vacancy_proxy,retail_units_pct_change_2019,total_rateable_value_pct_change_2019,median_rateable_value_pct_change_2019,total_floor_area_pct_change_2019,median_floor_area_pct_change_2019,vacancy_proxy_change_2019
E02000112,Brent 020,280,6290225.0,14000.0,40150.67,72.55000000000001,0.0928571428571428,285.6666666666667,6257691.666666667,15208.333333333334,37867.82,71.68333333333334,0.07576086826242766,0.02023809523809524,-0.005172046044987792,0.0863095238095238,-0.05685708358042347,-0.01194578451642562,-0.01709627459471514
E02000113,Brent 021,30,3561300.0,8650.0,49696.69,63.650000000000006,0.0666666666666666,26.333333333333332,5208016.666666667,9791.666666666666,48686.65666666667,63.13333333333333,0.08499999999999996,-0.12222222222222223,0.4623920104081843,0.13198458574181118,-0.020323955847629596,-0.008117308195862814,0.01833333333333337
E02000114,Brent 022,188,3809325.0,15500.0,18247.48,64.15,0.0531914893617021,191.33333333333334,3893758.3333333335,16000.0,18566.903333333332,65.095,0.0642156862745098,0.017730496453900707,0.022164906731070032,0.03225806451612903,0.017505065539643472,0.014731098986749699,0.011024196912807697
E02000115,Brent 023,15,356750.0,16250.0,1510.19,67.15,0.1333333333333333,15.333333333333334,400533.3333333333,16583.333333333332,1450.0933333333332,58.69166666666666,0.041666666666666664,0.022222222222222223,0.12272833450128473,0.020512820512820513,-0.03979410979192468,-0.12596177711590972,-0.09166666666666663
E02000116,Brent 024,176,2611625.0,12750.0,12816.91,54.25,0.0795454545454545,173.33333333333334,2720566.6666666665,13291.666666666666,12110.196666666665,54.23333333333333,0.05303371751121407,-0.015151515151515154,0.04171413072959045,0.04248366013071895,-0.055139135199773835,-0.00030721966205839803,-0.026511737034240437
E02000117,Brent 025,115,1868450.0,10750.0,13245.77,62.3,0.0695652173913043,120.0,2117866.6666666665,11875.0,13713.156666666668,62.56999999999999,0.11108049777287964,0.043478260869565216,0.1334885421962946,0.10465116279069768,0.03528573021173295,0.004333868378812211,0.041515280381575335
E02000118,Brent 026,57,1846500.0,26750.0,12227.95,105.08,0.0350877192982456,106.66666666666667,2264385.6666666665,11458.333333333334,12522.36,35.964999999999996,0.04091109458081934,0.871345029239766,0.22631230255438217,-0.5716510903426791,0.024076807641509757,-0.6577369623144271,0.0058233752825737365
E02000119,Brent 027,44,1058700.0,13000.0,7000.65,88.63499999999999,0.0,50.0,1376408.3333333333,15333.333333333334,8964.62,97.86666666666667,0.013696715583507999,0.13636363636363638,0.3000928812065111,0.1794871794871795,0.28054109261282884,0.1041537391173541,0.013696715583507999
E02000120,Brent 028,226,5924225.0,18125.0,21163.72,68.95,0.0575221238938053,233.33333333333334,5947600.0,19208.333333333332,21601.036666666667,67.40333333333334,0.08540005420009687,0.03244837758112095,0.003945663778806511,0.059770114942528735,0.020663506541698042,-0.02243171380227218,0.02787793030629156
E02000121,Brent 029,229,7971100.0,16000.0,47513.78,60.0,0.0611353711790393,248.66666666666666,8190966.666666667,15666.666666666666,44328.14333333333,53.708333333333336,0.061019160374839364,0.0858806404657933,0.027582976837157564,-0.020833333333333332,-0.06704658452067307,-0.10486111111111111,-0.00011621080419993203
E02000122,Brent 030,40,391250.0,9950.0,2290.2,54.925,0.05,38.666666666666664,425533.3333333333,10916.666666666666,2231.4133333333334,54.92499999999999,0.0776315789473684,-0.03333333333333333,0.08762513312034077,0.09715242881072028,-0.025668791663027924,0.0,0.027631578947368396
